variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0666007533669471,0.0855196937918663,0.152913017719984,0.1808222778141498,0.1172888353466987,-0.0055245525436475,0.025625832658261,0.1182694548368454,0.1401567205786705,0.0719922930002212,0.1388071864843368,0.1624986490607261,0.2329490357637405,0.2655168399214744,0.1963550969958305
1951,0.0671658232808113,0.0869432863593101,0.1555555538833141,0.184581995010376,0.1189798600971698,-0.0064438732806593,0.0302958076633513,0.1233220729231834,0.1493036672472953,0.0777233093976974,0.139437747746706,0.1702983222901821,0.2415318737924099,0.274127858877182,0.2037551552057266
1952,0.0677307222038507,0.0875754883140325,0.1572944785654544,0.1876050360500813,0.1201679706573486,-0.0071564376121386,0.0324757483974099,0.1254425324499607,0.1535143345594406,0.0792374946177005,0.1424579367041588,0.1696211300790309,0.2448970557749271,0.2805725798010826,0.2055206075310707
1953,0.0681830938905477,0.0883903513848781,0.159570373892784,0.1902600087225437,0.1217559389770031,-0.0033630389953032,0.0355831716582179,0.1299275602400302,0.1596707977354526,0.0849939361214637,0.1524346202611923,0.1732066363096237,0.2510532426834106,0.2838526353240013,0.2135490998625755
1954,0.068805332109332,0.0890717437118291,0.1618235683441161,0.1933908097445965,0.1230145879089832,0.0054415626218542,0.0451732980832457,0.1407141798734664,0.1723260298371315,0.0964772514998912,0.1646242566406726,0.1840687556564808,0.2652125659584999,0.2995479688048363,0.2230128645896911
1955,0.0690710768103599,0.0896777045726776,0.1638177113234996,0.1960310086607933,0.1240489743649959,0.0105226307176053,0.0525541918352246,0.1504007041454314,0.1823124580085277,0.1044915691018104,0.1683675020933151,0.190981318205595,0.2766800162196159,0.3108527928590774,0.2368179932236671
1956,0.0695726681500673,0.090616734623909,0.1659544190764427,0.1985009707510471,0.1253918260335922,0.0122435653116553,0.0561996531113982,0.1526573128998279,0.1845765389502048,0.1077262349426746,0.1744653232395649,0.1964429341256618,0.2800875568389893,0.309863743185997,0.2439773604273796
1957,0.0692149944603443,0.0907387959212064,0.166982527077198,0.1993942819535732,0.126329131424427,0.0091512487735599,0.0494270891696214,0.145145143866539,0.1808327533304692,0.1014032326638698,0.1713037401437759,0.1934732064604759,0.2749460276961326,0.299575611948967,0.2396753504872322
