experiment,approach,firstcross1,firstcross2,firstcross5,kl,ncrosses,rmse
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.23423231205582537,0.4430151322074609,0.8047774791647273,0.4662414051889178,1.22,0.034209945989642276
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.2250040666125163,0.42664158532947555,0.7968802396955393,0.513779615020203,1.36,0.03532926139103454
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5444804388880808,0.8513975420126026,0.9877000961198714,0.34391663285958235,1.02,0.03160456105868178
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.5593597539820643,0.8664556910347512,0.9899214462257747,0.4537777194049995,1.02,0.03392884695666619
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.5882010352342059,0.8825030846667319,0.9999999811084938,0.2560559880995793,1.0,0.03264607694488652
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.6198859142608574,0.9064320984090418,0.9999999994417633,0.6311350378578666,1.06,0.032623427902229045
fut_NorESM_RCP45_Volc,inverse_variance,0.3150467744717904,0.5723212322944693,0.8915910776591525,0.6503905289927316,1.1,0.04960811674681811
fut_NorESM_RCP45_Volc,sharpened_blended,0.35219348103114523,0.6387584234573205,0.949522718943764,0.8472718740461098,1.05,0.04747505578657726
fut_NorESM_RCP45_VolcConst,inverse_variance,0.604454092654833,0.9164437990925969,0.9999999991824038,0.3953844830324585,1.0166666666666666,0.028010058740644356
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.5544135651688059,0.8675714650837053,0.9999943702129088,0.3923947145298149,1.0166666666666666,0.027627382869853764
