variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0758645106106996,0.0938022687286138,0.1588147574663162,0.1828002199530601,0.1242543049156665,0.1460681088268756,0.1812342154979705,0.2801206555962562,0.3049492359161377,0.2306262105703354,0.2897974401712417,0.3130203032493591,0.3873791724443435,0.4259382873773575,0.3496659249067306
1951,0.0759409315884113,0.0943764874339103,0.1604197162389755,0.1843528762459755,0.1248816438019275,0.1412488222122192,0.1802210412919521,0.2787453845143318,0.3074421375989914,0.2260604426264763,0.2783024951815605,0.309983075261116,0.3880738127231598,0.4294838011264801,0.3499663323163986
1952,0.0755675438791513,0.0941100940853357,0.1606049486994743,0.1848749868571758,0.1248239129781723,0.1360154278576374,0.1789039525389671,0.2758793100714683,0.3076224192976952,0.2234300374984741,0.2798386469483375,0.3071213474869728,0.3843149203062057,0.4315801009535789,0.346865102648735
1953,0.071293818578124,0.09011005602777,0.1554220902919769,0.180866303294897,0.1202878579497337,0.1462856963276863,0.1843785825371742,0.283461545407772,0.3155605986714363,0.2304610013961792,0.2868917942047119,0.3073660439252853,0.3905010351538658,0.430560852587223,0.3528782427310943
1954,0.0627071179449558,0.080969353839755,0.1439215515553951,0.170258629322052,0.1104851178824901,0.1611861810088157,0.1983049289882183,0.2958142247796058,0.3310821056365967,0.2442916631698608,0.2886850535869598,0.3133066576719284,0.3946086305379867,0.4385360732674598,0.3569127023220062
1955,0.0543432822450995,0.0710571851581335,0.1320853561162948,0.158480155467987,0.0998298339545726,0.1753152899444103,0.2157067503035068,0.3162172392010688,0.3520015150308609,0.2615351378917694,0.2908379048109054,0.3205407392978668,0.3982554706931114,0.4450844869017601,0.3657132238149643
1956,0.0478407500311732,0.0638281039148569,0.1221123144775628,0.1472498834133148,0.0905508287250995,0.1783383890986442,0.2194263251125812,0.3218291673064232,0.3563651099801063,0.2669392079114914,0.2853415042161941,0.3170958566665649,0.3954714494943618,0.4372550100088119,0.3618787080049515
1957,0.0423899753019213,0.0577744214236736,0.1125825689733028,0.136568795889616,0.0823176205158233,0.185628242790699,0.2250726979970931,0.3233492997288704,0.3609644770622253,0.2730785012245178,0.2787591472268104,0.3159348165988922,0.3973573386669158,0.426668219268322,0.3577495366334915
