variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0393218630294808,0.0650374340389252,0.1516313394487781,0.1913889551233939,0.1049721009262343,0.0134239625960455,0.064415557104495,0.2029875401708791,0.247603465140085,0.1375096116132815,0.1308660731787848,0.171094166236546,0.2933844898783547,0.3339582619914676,0.2314784417257589
1951,0.0397854019901441,0.0655485167800832,0.1532386602357249,0.1936015051570447,0.1058974320562008,0.0222008698748729,0.0737280759949456,0.2120759668140946,0.2551021920160993,0.1468258533435908,0.142790151542217,0.1826818931924508,0.3027423769389005,0.339660661541583,0.242091586758547
1952,0.0396517038071418,0.0652228947134469,0.1536417363375864,0.194535085405497,0.1057747125844744,0.0327885510275818,0.0860134694410953,0.2274055511701633,0.2693276095669717,0.1612404391943367,0.1563681718126378,0.1968195816852591,0.3162256822444717,0.351131056030007,0.2557599297176827
1953,0.0386609227697858,0.0638977720278918,0.152401472532793,0.1935878623331732,0.1043659761712394,0.0510606373418447,0.1059283813210062,0.2508926794239703,0.2955557131455005,0.1835080749725046,0.173791877925396,0.2161189729325911,0.3380428635800147,0.3747722065706245,0.2764490750782631
1954,0.0390847895225948,0.0642669396694092,0.1530131650420234,0.1945456391529126,0.1047107199864353,0.0515455439227961,0.1064146520030986,0.2525255625333418,0.2977782847688478,0.1850991126574466,0.1752124748877523,0.217430764738032,0.3386357128072311,0.379333708032637,0.2790227549369721
1955,0.0401902925551814,0.0653878661261543,0.1548797267434352,0.1968283072278343,0.1061512662974351,0.0430987667908672,0.097929281860946,0.245405099929365,0.2916058545062482,0.1769807005004943,0.1682516786899856,0.2102684775931651,0.3321105967511368,0.3733945619314909,0.2738406644750606
1956,0.0424666385590919,0.0673181536045911,0.1578837204023319,0.2005219750489821,0.1084038449780029,0.0264399457816205,0.0827965866277929,0.2293447640740915,0.2749136121916202,0.1615975621137776,0.1551777786958743,0.1999486225427073,0.3178638380294775,0.359573939864469,0.2615079017191687
1957,0.0432947066859068,0.0684666989694404,0.1599532411948723,0.2031730409930734,0.1099224648000125,0.0280686143126598,0.084518542259346,0.2317162137163582,0.2796922810238731,0.1622674802509958,0.1556872591554352,0.2013484345781891,0.3211586366407574,0.3662717034163721,0.2640836001373827
