variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0317785045132041,0.0548827748000621,0.1287848651409149,0.1635061919689178,0.0889156274497509,0.1030138857662677,0.1427012674510479,0.2478114250302314,0.2816220119595528,0.1982489973306656,0.2019553288817405,0.2313545222580433,0.3245632597804069,0.3573242604732512,0.2774064689874649
1951,0.0324358994141221,0.0558313402906059,0.131080837547779,0.1665183275938034,0.0904400311410427,0.1077675271779298,0.1480190274119377,0.2552112820744514,0.2870822235941886,0.2050041407346724,0.209586800634861,0.2391183550655841,0.3330808281898498,0.3620545625686645,0.2856450378894806
1952,0.0325742514804005,0.0561573605239391,0.1327409410476684,0.1689149439334869,0.0913024097681045,0.1192062128335237,0.1611965505778789,0.2716063886880874,0.302997887134552,0.2207404002547264,0.2249609358608722,0.2546979421377182,0.3482129341363906,0.3767392829060554,0.3019750714302063
1953,0.0322546146810054,0.0559145710989832,0.1334868015348911,0.1703115917742252,0.0914708115160464,0.1369839921593666,0.1802697090804577,0.293594289124012,0.3276521056890488,0.2420169711112976,0.2437757857143879,0.2757378220558166,0.3696912541985511,0.3990152791142463,0.3234336972236633
1954,0.0335259925574064,0.0576328082755208,0.1365017956495285,0.1741761527955531,0.093663390725851,0.1389307081699371,0.1824483624100685,0.2981776776909828,0.3324933305382727,0.2454077303409576,0.2490283370018005,0.2804087153077125,0.3760692062973976,0.405338543653488,0.3298155069351196
1955,0.0350734878331422,0.0597338031232357,0.1402675658464431,0.1787971690297126,0.0965270213782786,0.1346005752682685,0.1786423623561859,0.2978327870368957,0.3328401714563369,0.2431044578552246,0.2481230363249778,0.2804832211136818,0.3777230679988861,0.4080484673380851,0.3303213715553283
1956,0.0379942147061228,0.0624660001695155,0.1448533716797828,0.1844229027628897,0.0999319516122341,0.1190240766853094,0.1653567279875278,0.285177666246891,0.3188822254538535,0.2303546294569969,0.2376465208828449,0.2736696833372116,0.368310857117176,0.3994223967194557,0.3222857117652893
1957,0.0387089446187019,0.0633109240978956,0.1467412354052066,0.1869137220084667,0.1011755913496017,0.1222265087068081,0.1688664606213569,0.2883852073550224,0.3241577938199043,0.2325247600674629,0.2394418522715568,0.2779187080264091,0.3714955928921699,0.4043791368603706,0.3261768668889999
